id,title,link,created_at
40,"발달장애 청소년으로 구성된 '다함께 탭댄스'팀, 첫 공연 성료",https://www.bokjitimes.com/news/articleView.html?idxno=38232,2024-09-11 13:46:56.170504+00
41,"청솔종합사회복지관, 나눔실천하는 지역상점에 '우리나눔가게' 현판 전달",https://www.bokjitimes.com/news/articleView.html?idxno=38231,2024-09-11 13:46:56.170504+00
42,"케이투코리아, 사랑의열매 '나눔명문기업' 가입",https://www.bokjitimes.com/news/articleView.html?idxno=38229,2024-09-11 13:46:56.170504+00
43,"""가족돌봄·고립은둔청년 전담지원센터의 이름을 지어주세요""",https://www.bokjitimes.com/news/articleView.html?idxno=38227,2024-09-11 13:46:56.170504+00
44,"한국장애인개발원-BGF리테일, 제주도에 장애인편의점 1호점 개소",https://www.bokjitimes.com/news/articleView.html?idxno=38226,2024-09-11 13:46:56.170504+00
45,"""무더위 끝자락, 삼계탕으로 건강지켜요""",https://www.bokjitimes.com/news/articleView.html?idxno=38224,2024-09-11 13:46:56.170504+00
46,파주시장애인종합복지관 '꿈을 그린(GREEN) 댄스 챌린지' 진행,https://www.bokjitimes.com/news/articleView.html?idxno=38220,2024-09-11 13:46:56.170504+00
47,"종로장애인복지관, 오는 5일 장애인의 재난안전을 위한 토론회 개최",https://www.bokjitimes.com/news/articleView.html?idxno=38217,2024-09-11 13:46:56.170504+00
48,"아산시장애인복지관, 장애인아이스하키팀 워크숍 진행",https://www.bokjitimes.com/news/articleView.html?idxno=38215,2024-09-11 13:46:56.170504+00
49,"경북사회복지협의회-LB루셈, 저소득 소외계층 위한 후원금 전달",https://www.bokjitimes.com/news/articleView.html?idxno=38213,2024-09-11 13:46:56.170504+00
50,"서울시, '위기임산부 통합지원센터' 개관…출산·양육 지원",https://www.bokjitimes.com/news/articleView.html?idxno=38212,2024-09-11 13:46:56.170504+00
51,"서울시립남부장애인복지관, 구직 원스톱 서비스 운영",https://www.bokjitimes.com/news/articleView.html?idxno=38210,2024-09-11 13:46:56.170504+00
52,"부산시보조기기센터, 티앤피 후원으로 캐노피 지원",https://www.bokjitimes.com/news/articleView.html?idxno=38209,2024-09-11 13:46:56.170504+00
53,출생통보제 한 달...419건 위기임신 상담·16명 보호출산 신청,https://www.bokjitimes.com/news/articleView.html?idxno=38207,2024-09-11 13:46:56.170504+00
54,"익산시장애인복지관, 편의시설 리모델링으로 이용자 편의성 향상",https://www.bokjitimes.com/news/articleView.html?idxno=38202,2024-09-11 13:46:56.170504+00
55,"상록 포레스트 핸드볼팀, 스페셜올림픽코리아 전국하계대회서 준우승 차지",https://www.bokjitimes.com/news/articleView.html?idxno=38198,2024-09-11 13:46:56.170504+00
56,"한국언론진흥재단 임직원, 에너지 취약계층 위한 나눔 실천",https://www.bokjitimes.com/news/articleView.html?idxno=38196,2024-09-11 13:46:56.170504+00
57,"시립대복지관, 삼계탕으로 중장년 1인가구 지원",https://www.bokjitimes.com/news/articleView.html?idxno=38194,2024-09-11 13:46:56.170504+00
58,"복지로, 다문화가족 대상 다국어서비스 57종으로 확대",https://www.bokjitimes.com/news/articleView.html?idxno=38193,2024-09-11 13:46:56.170504+00
59,청년미래센터 4개소 오픈...고립·은둔청년 전담지원,https://www.bokjitimes.com/news/articleView.html?idxno=38191,2024-09-11 13:46:56.170504+00
60,"사랑의열매, 한국공인회계사회와 '찾아가는 회계교육' MOU",https://www.bokjitimes.com/news/articleView.html?idxno=38188,2024-09-11 13:46:56.170504+00
61,'경기 비발디 나눔사업'으로 시원한 여름나기,https://www.bokjitimes.com/news/articleView.html?idxno=38187,2024-09-11 13:46:56.170504+00
62,"""우린, 손뜨개로 치매예방 합니다""",https://www.bokjitimes.com/news/articleView.html?idxno=38182,2024-09-11 13:46:56.170504+00
63,충북장애인복지관 '인문프로그램' 공모사업 선정,https://www.bokjitimes.com/news/articleView.html?idxno=38180,2024-09-11 13:46:56.170504+00
64,"전북장애인재활협회, 2024년 장애가정아동 성장멘토링 캠프 진행",https://www.bokjitimes.com/news/articleView.html?idxno=38179,2024-09-11 13:46:56.170504+00
65,"복지부, 삼성라이온즈와 함께 정신건강 인식개선 캠페인 펼친다",https://www.bokjitimes.com/news/articleView.html?idxno=38178,2024-09-11 13:46:56.170504+00
66,"전국푸드뱅크-베베쿡, 취약계층에 실온이유식 지원",https://www.bokjitimes.com/news/articleView.html?idxno=38174,2024-09-11 13:46:56.170504+00
67,‘2024 독립유공자 후손 장학금 전달식’ 개최,https://www.bokjitimes.com/news/articleView.html?idxno=38171,2024-09-11 13:46:56.170504+00
68,"인구보건복지협회-인천장애인보건의료센터, 여성장애인 건강증진 위해 손잡아",https://www.bokjitimes.com/news/articleView.html?idxno=38170,2024-09-11 13:46:56.170504+00
69,"좋은복지 해와달, 최중증 발달장애인 통합돌봄서비스 사업설명회 개최",https://www.bokjitimes.com/news/articleView.html?idxno=38168,2024-09-11 13:46:56.170504+00
70,"한국어린이집총연합회, 아동학대예방 릴레이 캠페인 참여",https://www.bokjitimes.com/news/articleView.html?idxno=38167,2024-09-11 13:46:56.170504+00
71,신성통상 '탑텐'의 냉감의류 기부...한여름 폭염 식힌다,https://www.bokjitimes.com/news/articleView.html?idxno=38166,2024-09-11 13:46:56.170504+00
72,"서울시립남부장애인종합복지관, 동작구 내 '장애인친화미용실' 15곳 운영",https://www.bokjitimes.com/news/articleView.html?idxno=38165,2024-09-11 13:46:56.170504+00
73,시각장애인도 불편 없는 편의점 모습은?…'모두를 위한 디자인' 전시,https://www.bokjitimes.com/news/articleView.html?idxno=38163,2024-09-11 13:46:56.170504+00
74,폭염 사망자 3명 늘어 누적 17명…온열질환자 1800명 넘어,https://www.bokjitimes.com/news/articleView.html?idxno=38162,2024-09-11 13:46:56.170504+00
75,"자립준비청년, 24세까지 위탁가정·시설 재보호 가능하다",https://www.bokjitimes.com/news/articleView.html?idxno=38161,2024-09-11 13:46:56.170504+00
76,"사랑의열매-롯데 화학군 4개사, 임직원 나눔문화 확산 위한 업무협약 체결",https://www.bokjitimes.com/news/articleView.html?idxno=38159,2024-09-11 13:46:56.170504+00
77,"""슬기로운 소비생활로 행복한 노년 보낸다""",https://www.bokjitimes.com/news/articleView.html?idxno=38155,2024-09-11 13:46:56.170504+00
78,'2024 사회서비스 소셜업 공모전' 실시,https://www.bokjitimes.com/news/articleView.html?idxno=38153,2024-09-11 13:46:56.170504+00
79,"서대문장애인종합복지관, 디지털 격차 없는 '디지털배움터' 운영",https://www.bokjitimes.com/news/articleView.html?idxno=38151,2024-09-11 13:46:56.170504+00
80,"거창군사회복지협의회, 관내 어르신에 '폭염 방지 키트' 전달",https://www.bokjitimes.com/news/articleView.html?idxno=38150,2024-09-11 13:46:56.170504+00
81,"충북장애인종합복지관, 2024년 장애인식개선 작품전시회 개최",https://www.bokjitimes.com/news/articleView.html?idxno=38149,2024-09-11 13:46:56.170504+00
82,"춘천종합사회복지관 ""청소년의 꿈을 지원합니다""",https://www.bokjitimes.com/news/articleView.html?idxno=38147,2024-09-11 13:46:56.170504+00
83,"장애수당·장애아동수당, 온라인으로 신청한다",https://www.bokjitimes.com/news/articleView.html?idxno=38146,2024-09-11 13:46:56.170504+00
84,"청주가경노인복지관, 삼계탕 나눔으로 '원기회복·나눔실천'",https://www.bokjitimes.com/news/articleView.html?idxno=38144,2024-09-11 13:46:56.170504+00
85,"뉴보은라이온스클럽, 보은군노인장애인복지관에 사랑의 쌀 기탁",https://www.bokjitimes.com/news/articleView.html?idxno=38143,2024-09-11 13:46:56.170504+00
86,한국장애인재활협회 제53회 국제 콘퍼런스 및 창립 70주년 기념식 개최,https://www.bokjitimes.com/news/articleView.html?idxno=38142,2024-09-11 13:46:56.170504+00
87,"사랑의열매, 공익사업 위해 다자간 업무협약 체결",https://www.bokjitimes.com/news/articleView.html?idxno=38140,2024-09-11 13:46:56.170504+00
88,"전국푸드뱅크-MG새마을금고, 취약계층에 건강한 어글리푸드 지원",https://www.bokjitimes.com/news/articleView.html?idxno=38138,2024-09-11 13:46:56.170504+00
89,"한국마사회 안산지사, 안산시초지종합복지관에 700만원 기부",https://www.bokjitimes.com/news/articleView.html?idxno=38136,2024-09-11 13:46:56.170504+00
90,"서울시사회복지협의회-우리금융미래재단, 에너지취약계층에 장마·폭염 대비 물품 전달",https://www.bokjitimes.com/news/articleView.html?idxno=38132,2024-09-11 13:46:56.170504+00
91,"명륜종합사회복지관, '더위사냥 실버맞춤쿨템; 사업 진행",https://www.bokjitimes.com/news/articleView.html?idxno=38131,2024-09-11 13:46:56.170504+00
92,"태화복지재단 캄보디아지부, 학교-지역사회 교육복지 네트워크 사례공유",https://www.bokjitimes.com/news/articleView.html?idxno=38130,2024-09-11 13:46:56.170504+00
93,"서사원 돌봄서비스 공백 없다…서울시, 서비스 연계 마무리",https://www.bokjitimes.com/news/articleView.html?idxno=38129,2024-09-11 13:46:56.170504+00
94,"경기나눔푸드뱅크, 경기도-이마트와 함께 '친환경 농산물 꾸러미' 배분 사업 시작",https://www.bokjitimes.com/news/articleView.html?idxno=38128,2024-09-11 13:46:56.170504+00
95,"시흥시대야종합사회복지관, 중장년 1인가구 대상 '금융안전교육' 실시",https://www.bokjitimes.com/news/articleView.html?idxno=38125,2024-09-11 13:46:56.170504+00
96,"성프란치스꼬장애인종합복지관, 장애인 및 어르신 가정에 삼계탕 전달",https://www.bokjitimes.com/news/articleView.html?idxno=38124,2024-09-11 13:46:56.170504+00
97,위기임신보호출산제 시행 10일...124명 위기임산부 지원,https://www.bokjitimes.com/news/articleView.html?idxno=38123,2024-09-11 13:46:56.170504+00
98,"상월곡실버복지센터, '여름학기 특별강좌' 성공적 마무리",https://www.bokjitimes.com/news/articleView.html?idxno=38122,2024-09-11 13:46:56.170504+00
99,"프로골퍼 박현경·팬클럽 '큐티풀현경', 장애청소년 꿈 위해 2000만원 기부",https://www.bokjitimes.com/news/articleView.html?idxno=38120,2024-09-11 13:46:56.170504+00
100,"논현노인종합복지관-마사회 청담지사, '텀블러데이' 개최",https://www.bokjitimes.com/news/articleView.html?idxno=38118,2024-09-11 13:46:56.170504+00
101,2024 GKL이웃사랑실천상·사회공헌상 후보자 공모,https://www.bokjitimes.com/news/articleView.html?idxno=38114,2024-09-11 13:46:56.170504+00
102,"노인인력개발원-LH, 'LH생활돌봄서비스' 전국 5개 권역으로 확대 운영",https://www.bokjitimes.com/news/articleView.html?idxno=38117,2024-09-11 13:46:56.170504+00
103,"가족돌봄청년, 돌봄 부담 줄인다...'가족돌봄 전담 지원서비스' 시범사업 운영",https://www.bokjitimes.com/news/articleView.html?idxno=38105,2024-09-11 13:46:56.170504+00
104,"장마철엔 일상 '멈춤'…""장애인 콜택시 4시간까지 대기""",https://www.bokjitimes.com/news/articleView.html?idxno=38104,2024-09-11 13:46:56.170504+00
105,안상훈 사회서비스진흥법 발의…국가·지자체 책임 강화,https://www.bokjitimes.com/news/articleView.html?idxno=38103,2024-09-11 13:46:56.170504+00
106,"아나운서 김정근·이지애 부부 자녀, 사랑의열매 '어린이 나눔리더'되다",https://www.bokjitimes.com/news/articleView.html?idxno=38100,2024-09-11 13:46:56.170504+00
107,"중소벤처기업인증원-한국장애인직업재활시설협회, 업무협약 체결",https://www.bokjitimes.com/news/articleView.html?idxno=38097,2024-09-11 13:46:56.170504+00
108,'25년 기준 중위소득 6.42% 인상...복지대상도 늘어,https://www.bokjitimes.com/news/articleView.html?idxno=38096,2024-09-11 13:46:56.170504+00
109,"신안산로타리클럽, 안산시상록장애인복지관에서 반계탕 나눔 활동",https://www.bokjitimes.com/news/articleView.html?idxno=38092,2024-09-11 13:46:56.170504+00
110,"월드비전강원어린이합창단,  여름역량강화캠프 실시",https://www.bokjitimes.com/news/articleView.html?idxno=38091,2024-09-11 13:46:56.170504+00
111,"배우 남윤수·인플루언서 성해은, '희망의씨앗 생명나눔' 홍보대사 위촉",https://www.bokjitimes.com/news/articleView.html?idxno=38087,2024-09-11 13:46:56.170504+00
112,"부모 없이 버티는 자립준비청년들, 주거 불안-우울 시달린다",https://www.bokjitimes.com/news/articleView.html?idxno=38085,2024-09-11 13:46:56.170504+00
113,"""노인 무료급식 사업,  지속 가능 위한 적정 인력지원 필요하다""",https://www.bokjitimes.com/news/articleView.html?idxno=38084,2024-09-11 13:46:56.170504+00
114,"양천어르신복지관-티머니복지재단, 폐지 수집 어르신 대상 '시니어 희망 리어카'사업 운영",https://www.bokjitimes.com/news/articleView.html?idxno=38083,2024-09-11 13:46:56.170504+00
115,"하안종합사회복지관, 제6회 전문 직업인 박람회 '드림메이커' 성료",https://www.bokjitimes.com/news/articleView.html?idxno=38082,2024-09-11 13:46:56.170504+00
116,"동서식품, 사랑의열매에 취약계층의 건강한 여름나기 성금 1억원 기탁",https://www.bokjitimes.com/news/articleView.html?idxno=38081,2024-09-11 13:46:56.170504+00
117,"법무법인 안다, 11년째 지역내 취약계층에 쌀나눔",https://www.bokjitimes.com/news/articleView.html?idxno=38078,2024-09-11 13:46:56.170504+00
118,2024년 '치매안심마을' 우수선도사업 48개 선정,https://www.bokjitimes.com/news/articleView.html?idxno=38074,2024-09-11 13:46:56.170504+00
119,"논현노인종합복지관, '논현 걷킹' 시상식 개최",https://www.bokjitimes.com/news/articleView.html?idxno=38072,2024-09-11 13:46:56.170504+00
120,"홍천여성의용소방대연합회, 어르신 급식 봉사활동 실시",https://www.bokjitimes.com/news/articleView.html?idxno=38071,2024-09-11 13:46:56.170504+00
121,인구보건복지협회 서울지회 '아빠와 함께 쿠킹클래스' 개최,https://www.bokjitimes.com/news/articleView.html?idxno=38068,2024-09-11 13:46:56.170504+00
122,"아산시장애인복지관, 하반기 평생학습 프로그램 참여자 모집",https://www.bokjitimes.com/news/articleView.html?idxno=38067,2024-09-11 13:46:56.170504+00
123,"정부, 시니어 레지던스 공급 확대...규제 풀어 민간사업자 진입 촉진",https://www.bokjitimes.com/news/articleView.html?idxno=38066,2024-09-11 13:46:56.170504+00
124,"CJ제일제당, 호프푸드팩 통해 5년 동안 1만명 결식아동 지원",https://www.bokjitimes.com/news/articleView.html?idxno=38064,2024-09-11 13:46:56.170504+00
125,7월 23일 '치매관리주치의 시범사업' 실시,https://www.bokjitimes.com/news/articleView.html?idxno=38063,2024-09-11 13:46:56.170504+00
126,"한국사회복지협의회-국민권익위, 복지 사각지대 위기가정 긴급 생계지원 나선다",https://www.bokjitimes.com/news/articleView.html?idxno=38061,2024-09-11 13:46:56.170504+00
127,"김성이 한국사회복지협의회장, 일본 지미 하나코 내각부 특명담당대신 면담",https://www.bokjitimes.com/news/articleView.html?idxno=38060,2024-09-11 13:46:56.170504+00
128,"""약국에서 위기임산부 상담전화 1308 확인하세요""",https://www.bokjitimes.com/news/articleView.html?idxno=38059,2024-09-11 13:46:56.170504+00
129,"보호출산제 시행 첫날…여가차관 ""한부모가족 지원 강화할 것""",https://www.bokjitimes.com/news/articleView.html?idxno=38058,2024-09-11 13:46:56.170504+00
130,"사랑의열매, 2024년 배분사업 설명회 가져",https://www.bokjitimes.com/news/articleView.html?idxno=38057,2024-09-11 13:46:56.170504+00
131,"오산 행복주는의원, 오산시사회복지협의회에 복지소외계층 위한 후원금 전달",https://www.bokjitimes.com/news/articleView.html?idxno=38056,2024-09-11 13:46:56.170504+00
132,새로운 지역복지를 모색하다,https://www.bokjitimes.com/news/articleView.html?idxno=38053,2024-09-11 13:46:56.170504+00
